
Прококол загрузки файла с ценами от 2017-02-22 11:14:05.933891
Строка № 151 не загружена! ['61989', 'COSIBO', '1', '3213', '2088', '2088', '2024', '', '', '\n']
Строка № 152 не загружена! ['61990', 'COSIBO', '1', '3213', '2088', '2088', '2024', '', '', '\n']
Строка № 153 не загружена! ['62278/1', 'COSIBO', '1', '1071', '696', '696', '675', '', '', '\n']
Строка № 154 не загружена! ['62279/1', 'COSIBO', '1', '1071', '696', '696', '675', '', '', '\n']
Строка № 155 не загружена! ['62347', 'COSIBO', '0', '1865', '1212', '1212', '1175', '', '', '\n']
Строка № 156 не загружена! ['62348', 'COSIBO', '0', '1865', '1212', '1212', '1175', '', '', '\n']
Строка № 157 не загружена! ['62421', 'COSIBO', '0', '1827', '1188', '1188', '1151', '', '', '\n']
Строка № 158 не загружена! ['62424', 'COSIBO', '0', '2129', '1384', '1384', '1341', '', '', '\n']
Строка № 159 не загружена! ['62425', 'COSIBO', '0', '2129', '1384', '1384', '1341', '', '', '\n']
Строка № 160 не загружена! ['62426', 'COSIBO', '0', '2129', '1384', '1384', '1341', '', '', '\n']
Строка № 161 не загружена! ['62427', 'COSIBO', '1', '2129', '1384', '1384', '1341', '', '', '\n']
Строка № 162 не загружена! ['62432', 'COSIBO', '1', '5544', '3604', '3604', '3493', '', '', '\n']
Строка № 163 не загружена! ['62433', 'COSIBO', '1', '5544', '3604', '3604', '3493', '', '', '\n']
Строка № 164 не загружена! ['64653', 'COSIBO', '2', '1197', '778', '778', '754', '', '', '\n']
Строка № 165 не загружена! ['64656', 'COSIBO', '1', '2268', '1474', '1474', '1429', '', '', '\n']
Строка № 166 не загружена! ['64657', 'COSIBO', '1', '2268', '1474', '1474', '1429', '', '', '\n']
Строка № 167 не загружена! ['64662', 'COSIBO', '1', '4662', '3030', '3030', '2937', '', '', '\n']
Строка № 168 не загружена! ['64663', 'COSIBO', '0', '4662', '3030', '3030', '2937', '', '', '\n']
Строка № 169 не загружена! ['64672', 'COSIBO', '0', '1764', '1147', '1147', '1111', '', '', '\n']
Строка № 170 не загружена! ['64673', 'COSIBO', '0', '1764', '1147', '1147', '1111', '', '', '\n']
Строка № 171 не загружена! ['64700', 'COSIBO', '1', '1512', '983', '983', '953', '', '', '\n']
Строка № 172 не загружена! ['64701', 'COSIBO', '1', '1512', '983', '983', '953', '', '', '\n']
Строка № 173 не загружена! ['64702', 'COSIBO', '1', '4032', '2621', '2621', '2540', '', '', '\n']
Строка № 174 не загружена! ['64703', 'COSIBO', '1', '4032', '2621', '2621', '2540', '', '', '\n']
Строка № 175 не загружена! ['70113', 'COSIBO', '1', '16506', '10729', '10729', '10399', '', '', '\n']
Строка № 176 не загружена! ['70156', 'COSIBO', '0', '26460', '17199', '17199', '16670', '', '', '\n']
Строка № 177 не загружена! ['70157', 'COSIBO', '1', '4410', '2867', '2867', '2778', '', '', '\n']
Строка № 178 не загружена! ['70158', 'COSIBO', '0', '4410', '2867', '2867', '2778', '', '', '\n']
Строка № 179 не загружена! ['70164', 'COSIBO', '1', '1758', '1143', '1143', '1108', '', '', '\n']
Строка № 180 не загружена! ['70165', 'COSIBO', '0', '1758', '1143', '1143', '1108', '', '', '\n']
Строка № 181 не загружена! ['70166', 'COSIBO', '0', '4763', '3096', '3096', '3001', '', '', '\n']
Строка № 182 не загружена! ['70167', 'COSIBO', '0', '4763', '3096', '3096', '3001', '', '', '\n']
Строка № 183 не загружена! ['70360', 'COSIBO', '4', '1380', '897', '897', '869', '', '', '\n']
Строка № 184 не загружена! ['80561', 'COSIBO', '1', '3591', '2334', '2334', '2262', '', '', '\n']
Строка № 185 не загружена! ['80562', 'COSIBO', '1', '3591', '2334', '2334', '2262', '', '', '\n']
Строка № 186 не загружена! ['81782', 'COSIBO', '1', '18648', '12121', '12121', '11748', '', '', '\n']
Строка № 187 не загружена! ['82008', 'COSIBO', '0', '1323', '860', '860', '833', '', '', '\n']
Строка № 188 не загружена! ['82009', 'COSIBO', '1', '1323', '860', '860', '833', '', '', '\n']
Строка № 189 не загружена! ['82031', 'COSIBO', '0', '1827', '1188', '1188', '1151', '', '', '\n']
Строка № 190 не загружена! ['34127/1', 'COSIBO', '10', '1235', '803', '803', '864', '', '', '\n']
Строка № 191 не загружена! ['34136/1', 'COSIBO', '10', '517', '336', '336', '362', '', '', '\n']
Строка № 192 не загружена! ['34166', 'COSIBO', '0', '800', '520', '520', '560', '', '', '\n']
Строка № 193 не загружена! ['34168', 'COSIBO', '0', '920', '598', '598', '644', '', '', '\n']
